Strike,Expiry,Type,Symbol,Last,Bid,Ask,Chg,PctChg,Vol,Open_Int,IV,Root,IsNonstandard,Underlying,Underlying_Price,Quote_Time,Last_Trade_Date,JSON
10.5,2018-09-12,call,VIX180912C00010500,3.29,2.6,4.2,0.0,0.0,1.0,13.0,2.2226606933593747,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-08-29 15:32:48,"{'percentChange': 0.0, 'contractSize': 'REGULAR', 'lastPrice': 3.29, 'contractSymbol': 'VIX180912C00010500', 'volume': 1, 'expiration': 1536710400, 'strike': 10.5, 'inTheMoney': True, 'impliedVolatility': 2.2226606933593747, 'currency': 'USD', 'bid': 2.6, 'openInterest': 13, 'lastTradeDate': 1535556768, 'change': 0.0, 'ask': 4.2}"
10.5,2018-09-12,put,VIX180912P00010500,0.1,0.0,0.05,0.0,0.0,1.0,1.0,0.85937640625,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-08-11 03:48:12,"{'percentChange': 0.0, 'contractSize': 'REGULAR', 'lastPrice': 0.1, 'contractSymbol': 'VIX180912P00010500', 'volume': 1, 'expiration': 1536710400, 'strike': 10.5, 'inTheMoney': False, 'impliedVolatility': 0.85937640625, 'currency': 'USD', 'bid': 0.0, 'openInterest': 1, 'lastTradeDate': 1533959292, 'change': 0.0, 'ask': 0.05}"
10.5,2018-09-19,call,VIX180919C00010500,3.8,3.4,3.6,0.20000005,5.5555573,1.0,145.0,1.7949229003906249,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-08-31 14:09:24,"{'percentChange': 5.5555573, 'contractSize': 'REGULAR', 'lastPrice': 3.8, 'contractSymbol': 'VIX180919C00010500', 'volume': 1, 'expiration': 1537315200, 'strike': 10.5, 'inTheMoney': True, 'impliedVolatility': 1.7949229003906249, 'currency': 'USD', 'bid': 3.4, 'openInterest': 145, 'lastTradeDate': 1535724564, 'change': 0.20000005, 'ask': 3.6}"
10.5,2018-09-19,put,VIX180919P00010500,0.03,0.0,0.05,0.01,50.0,1.0,3237.0,0.64062859375,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-08-31 14:08:06,"{'percentChange': 50.0, 'contractSize': 'REGULAR', 'lastPrice': 0.03, 'contractSymbol': 'VIX180919P00010500', 'volume': 1, 'expiration': 1537315200, 'strike': 10.5, 'inTheMoney': False, 'impliedVolatility': 0.64062859375, 'currency': 'USD', 'bid': 0.0, 'openInterest': 3237, 'lastTradeDate': 1535724486, 'change': 0.01, 'ask': 0.05}"
10.5,2018-09-26,call,VIX180926C00010500,4.4,2.9,4.8,0.0,0.0,1.0,9.0,1.8515632421875,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-08-30 18:23:42,"{'percentChange': 0.0, 'contractSize': 'REGULAR', 'lastPrice': 4.4, 'contractSymbol': 'VIX180926C00010500', 'volume': 1, 'expiration': 1537920000, 'strike': 10.5, 'inTheMoney': True, 'impliedVolatility': 1.8515632421875, 'currency': 'USD', 'bid': 2.9, 'openInterest': 9, 'lastTradeDate': 1535653422, 'change': 0.0, 'ask': 4.8}"
10.5,2018-09-26,put,VIX180926P00010500,0.02,0.0,0.05,0.0,0.0,5.0,6.0,0.5312546875,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-08-28 15:17:37,"{'percentChange': 0.0, 'contractSize': 'REGULAR', 'lastPrice': 0.02, 'contractSymbol': 'VIX180926P00010500', 'volume': 5, 'expiration': 1537920000, 'strike': 10.5, 'inTheMoney': False, 'impliedVolatility': 0.5312546875, 'currency': 'USD', 'bid': 0.0, 'openInterest': 6, 'lastTradeDate': 1535469457, 'change': 0.0, 'ask': 0.05}"
10.5,2018-10-03,call,VIX181003C00010500,4.4,3.7,4.4,0.0,0.0,10.0,10.0,1.79296978515625,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-09-01 03:48:16,"{'percentChange': 0.0, 'contractSize': 'REGULAR', 'lastPrice': 4.4, 'contractSymbol': 'VIX181003C00010500', 'volume': 10, 'expiration': 1538524800, 'strike': 10.5, 'inTheMoney': True, 'impliedVolatility': 1.79296978515625, 'currency': 'USD', 'bid': 3.7, 'openInterest': 10, 'lastTradeDate': 1535773696, 'change': 0.0, 'ask': 4.4}"
10.5,2018-10-17,put,VIX181017P00010500,0.03,0.0,0.05,0.0,0.0,5.0,5.0,0.445318046875,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-08-25 03:49:07,"{'percentChange': 0.0, 'contractSize': 'REGULAR', 'lastPrice': 0.03, 'contractSymbol': 'VIX181017P00010500', 'volume': 5, 'expiration': 1539734400, 'strike': 10.5, 'inTheMoney': False, 'impliedVolatility': 0.445318046875, 'currency': 'USD', 'bid': 0.0, 'openInterest': 5, 'lastTradeDate': 1535168947, 'change': 0.0, 'ask': 0.05}"
11.0,2018-09-05,call,VIX180905C00011000,3.5,2.05,3.6,0.46000004,15.13158,11.0,148.0,3.8984377539062502,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-09-04 13:42:34,"{'percentChange': 15.13158, 'contractSize': 'REGULAR', 'lastPrice': 3.5, 'contractSymbol': 'VIX180905C00011000', 'volume': 11, 'expiration': 1536105600, 'strike': 11.0, 'inTheMoney': True, 'impliedVolatility': 3.8984377539062502, 'currency': 'USD', 'bid': 2.05, 'openInterest': 148, 'lastTradeDate': 1536068554, 'change': 0.46000004, 'ask': 3.6}"
11.0,2018-09-05,put,VIX180905P00011000,0.03,0.0,0.05,0.0,0.0,4.0,73.0,1.5000025,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-08-30 13:46:36,"{'percentChange': 0.0, 'contractSize': 'REGULAR', 'lastPrice': 0.03, 'contractSymbol': 'VIX180905P00011000', 'volume': 4, 'expiration': 1536105600, 'strike': 11.0, 'inTheMoney': False, 'impliedVolatility': 1.5000025, 'currency': 'USD', 'bid': 0.0, 'openInterest': 73, 'lastTradeDate': 1535636796, 'change': 0.0, 'ask': 0.05}"
