Strike,Expiry,Type,Symbol,Last,Bid,Ask,Chg,PctChg,Vol,Open_Int,IV,Root,IsNonstandard,Underlying,Underlying_Price,Quote_Time,Last_Trade_Date,JSON
212.0,2018-10-19,put,SPY181019P00212000,0.33,0.21,0.22,0.0,0.0,2005.0,2000.0,0.41748629394531245,SPY,False,SPY,289.36,2018-09-05 13:40:38,2018-08-18 03:56:08,"{'inTheMoney': False, 'currency': 'USD', 'volume': 2005, 'openInterest': 2000, 'impliedVolatility': 0.41748629394531245, 'strike': 212.0, 'change': 0.0, 'contractSymbol': 'SPY181019P00212000', 'contractSize': 'REGULAR', 'lastTradeDate': 1534564568, 'bid': 0.21, 'ask': 0.22, 'lastPrice': 0.33, 'expiration': 1539907200, 'percentChange': 0.0}"
212.0,2018-11-16,put,SPY181116P00212000,0.26,0.24,0.25,0.0,0.0,47.0,266.0,0.33399103515625,SPY,False,SPY,289.36,2018-09-05 13:40:38,2018-08-30 18:25:39,"{'inTheMoney': False, 'currency': 'USD', 'volume': 47, 'openInterest': 266, 'impliedVolatility': 0.33399103515625, 'strike': 212.0, 'change': 0.0, 'contractSymbol': 'SPY181116P00212000', 'contractSize': 'REGULAR', 'lastTradeDate': 1535653539, 'bid': 0.24, 'ask': 0.25, 'lastPrice': 0.26, 'expiration': 1542326400, 'percentChange': 0.0}"
212.0,2018-12-31,call,SPY181231C00212000,59.08,67.25,70.49,59.08,100.0,1.0,29.0,1.0000000000000003e-05,SPY,False,SPY,289.34,2018-09-05 13:40:37,2018-04-16 18:06:32,"{'inTheMoney': True, 'currency': 'USD', 'volume': 1, 'openInterest': 29, 'impliedVolatility': 1.0000000000000003e-05, 'strike': 212.0, 'change': 59.08, 'contractSymbol': 'SPY181231C00212000', 'contractSize': 'REGULAR', 'lastTradeDate': 1523901992, 'bid': 67.25, 'ask': 70.49, 'lastPrice': 59.08, 'expiration': 1546214400, 'percentChange': 100.0}"
212.0,2018-12-31,put,SPY181231P00212000,0.5,0.47,0.5,0.0,0.0,8.0,471.0,0.2934640966796874,SPY,False,SPY,289.34,2018-09-05 13:40:37,2018-08-27 15:19:30,"{'inTheMoney': False, 'currency': 'USD', 'volume': 8, 'openInterest': 471, 'impliedVolatility': 0.2934640966796874, 'strike': 212.0, 'change': 0.0, 'contractSymbol': 'SPY181231P00212000', 'contractSize': 'REGULAR', 'lastTradeDate': 1535383170, 'bid': 0.47, 'ask': 0.5, 'lastPrice': 0.5, 'expiration': 1546214400, 'percentChange': 0.0}"
212.0,2019-03-29,put,SPY190329P00212000,1.26,1.19,1.23,-0.21000004,-14.285716,4.0,10.0,0.26428958374023437,SPY,False,SPY,289.36,2018-09-05 13:40:38,2018-08-31 19:37:24,"{'inTheMoney': False, 'currency': 'USD', 'volume': 4, 'openInterest': 10, 'impliedVolatility': 0.26428958374023437, 'strike': 212.0, 'change': -0.21000004, 'contractSymbol': 'SPY190329P00212000', 'contractSize': 'REGULAR', 'lastTradeDate': 1535744244, 'bid': 1.19, 'ask': 1.23, 'lastPrice': 1.26, 'expiration': 1553817600, 'percentChange': -14.285716}"
213.0,2018-09-21,call,SPY180921C00213000,73.76,74.8,75.06,0.0,0.0,48.0,289.0,1.0000000000000003e-05,SPY,False,SPY,289.34,2018-09-05 13:40:37,2018-08-22 19:30:01,"{'inTheMoney': True, 'currency': 'USD', 'volume': 48, 'openInterest': 289, 'impliedVolatility': 1.0000000000000003e-05, 'strike': 213.0, 'change': 0.0, 'contractSymbol': 'SPY180921C00213000', 'contractSize': 'REGULAR', 'lastTradeDate': 1534966201, 'bid': 74.8, 'ask': 75.06, 'lastPrice': 73.76, 'expiration': 1537488000, 'percentChange': 0.0}"
213.0,2018-09-21,put,SPY180921P00213000,0.03,0.03,0.04,0.0,0.0,100.0,8544.0,0.5351608984375,SPY,False,SPY,289.34,2018-09-05 13:40:37,2018-08-29 20:04:13,"{'inTheMoney': False, 'currency': 'USD', 'volume': 100, 'openInterest': 8544, 'impliedVolatility': 0.5351608984375, 'strike': 213.0, 'change': 0.0, 'contractSymbol': 'SPY180921P00213000', 'contractSize': 'REGULAR', 'lastTradeDate': 1535573053, 'bid': 0.03, 'ask': 0.04, 'lastPrice': 0.03, 'expiration': 1537488000, 'percentChange': 0.0}"
213.0,2018-09-28,call,SPY180928C00213000,69.2,66.66,67.36,69.2,100.0,23.0,122.0,1.0000000000000003e-05,SPY,False,SPY,289.34,2018-09-05 13:40:37,2018-01-19 19:29:51,"{'inTheMoney': True, 'currency': 'USD', 'volume': 23, 'openInterest': 122, 'impliedVolatility': 1.0000000000000003e-05, 'strike': 213.0, 'change': 69.2, 'contractSymbol': 'SPY180928C00213000', 'contractSize': 'REGULAR', 'lastTradeDate': 1516390191, 'bid': 66.66, 'ask': 67.36, 'lastPrice': 69.2, 'expiration': 1538092800, 'percentChange': 100.0}"
213.0,2018-09-28,put,SPY180928P00213000,0.05,0.05,0.07,0.0,0.0,50.0,197.0,0.48633326171875,SPY,False,SPY,289.34,2018-09-05 13:40:37,2018-08-29 16:56:37,"{'inTheMoney': False, 'currency': 'USD', 'volume': 50, 'openInterest': 197, 'impliedVolatility': 0.48633326171875, 'strike': 213.0, 'change': 0.0, 'contractSymbol': 'SPY180928P00213000', 'contractSize': 'REGULAR', 'lastTradeDate': 1535561797, 'bid': 0.05, 'ask': 0.07, 'lastPrice': 0.05, 'expiration': 1538092800, 'percentChange': 0.0}"
213.0,2018-10-19,call,SPY181019C00213000,74.61,74.89,75.13,0.0,0.0,190.0,189.0,1.0000000000000003e-05,SPY,False,SPY,289.36,2018-09-05 13:40:38,2018-08-25 03:57:41,"{'inTheMoney': True, 'currency': 'USD', 'volume': 190, 'openInterest': 189, 'impliedVolatility': 1.0000000000000003e-05, 'strike': 213.0, 'change': 0.0, 'contractSymbol': 'SPY181019C00213000', 'contractSize': 'REGULAR', 'lastTradeDate': 1535169461, 'bid': 74.89, 'ask': 75.13, 'lastPrice': 74.61, 'expiration': 1539907200, 'percentChange': 0.0}"
